;Assets $;Market value $;Profits $;Proft_%_Revenues;Revenues $;Total Stockholder Equity $;company
250;25,357;9,908;not available;4.5;11,381;11,652;WestRock
249;225,261;56,356;not available;29.3;11,401;28,503;BlackRock
248;34,362;11,669;not available;-12.9;11,451;668;First Data
247;33,111;41,038;not available;12.7;11,477;4,809;ADP
246;44,648;14,219;not available;-1.5;11,513;9,257;Entergy
245;50,310;23,423;not available;8.9;11,524;11,368;Edison International
244;12,085;9,186;not available;-2.1;11,554;4,355;L-3 Communications
243;9,190;2,350;not available;-14.2;11,574;2,436;United States Steel
242;58,797;44,826;not available;16.3;11,683;12,664;Dominion Resources
241;46,340;5,858;not available;2.4;11,684;10,401;Leucadia National
240;20,987;41,070;not available;16.8;11,689;6,817;Las Vegas Sands
239;6,968;not available;not available;-1.1;11,802;-1,265;Toys “R” Us
238;35,039;24,651;not available;16.7;11,811;11,652;CSX
237;6,759;8,121;not available;8.1;11,881;2,743;"Bed Bath &amp; Beyond"
236;4,869;23,235;not available;8.5;11,940;2,472;Ross Stores
235;218,686;11,505;not available;10.3;11,964;9,312;Principal Financial
234;7,786;5,337;not available;2.5;12,115;4,292;Jacobs Engineering Group
233;8,493;25,209;not available;10.3;12,154;-259;L Brands
232;10,201;4,748;not available;-0.1;12,183;2,921;Computer Sciences
231;145,342;15,823;not available;12.8;12,200;7,217;Ameriprise Financial
230;9,640;27,422;not available;10.0;12,377;5,385;VF
229;13,065;38,192;not available;13.1;12,416;9,278;Cognizant Technology Solutions
228;45,642;22,495;not available;9.5;12,554;13,052;Consolidated Edison
227;9,442;3,394;not available;-4.1;12,625;1,309;J.C. Penney
226;15,567;not available;not available;-0.9;12,626;4,207;Farmers Insurance Exchange
225;65,072;not available;not available;3.3;12,628;6,090;Guardian Life Ins. Co. of America
224;43,437;52,270;not available;-61.7;12,699;24,350;Occidental Petroleum
223;12,295;15,007;not available;8.0;12,712;5,104;Parker-Hannifin
222;17,357;2,804;not available;-115.1;12,764;2,138;Chesapeake Energy
221;18,216;31,685;not available;12.4;12,893;6,513;"Marsh &amp; McLennan"
220;20,419;26,234;not available;5.8;12,961;5,345;Waste Management
219;6,755;6,886;not available;3.1;12,989;1,096;CDW
218;16,230;57,722;not available;23.0;13,000;9,946;Texas Instruments
217;8,075;33,453;not available;9.9;13,105;911;Yum Brands
216;6,105;3,412;not available;1.1;13,124;1,647;PBF Energy
215;29,532;14,376;not available;-110.0;13,145;7,049;Devon Energy
214;8,000;not available;not available;2.3;13,161;1,776;Land O’Lakes
213;8,388;6,235;not available;5.6;13,238;5,253;HollyFrontier
212;22,217;16,342;not available;14.5;13,268;3,538;Viacom
211;4,444;3,674;not available;1.6;13,338;1,799;Synnex
210;15,729;37,264;not available;14.2;13,405;5,224;Illinois Tool Works
209;76,029;12,970;not available;1.9;13,415;17,561;Loews
208;14,708;9,809;not available;5.2;13,423;4,964;Textron
207;3,184;10,633;not available;3.8;13,476;1,151;C.H. Robinson Worldwide
206;15,265;26,964;not available;4.5;13,525;2,128;Kellogg
205;18,642;32,746;not available;7.4;13,545;6,910;Ecolab
204;251,937;9,446;not available;8.5;13,572;13,617;Lincoln National
203;40,236;183,663;not available;45.6;13,880;29,842;Visa
202;23,765;25,316;not available;10.2;13,886;5,563;CBS
201;5,194;4,092;not available;0.9;13,890;1,728;WellCare Health Plans
200;6,576;3,649;not available;1.0;14,178;1,557;Molina Healthcare
199;18,515;15,124;not available;1.9;14,210;4,871;DaVita HealthCare Partners
198;10,224;8,012;not available;1.6;14,329;1,883;Aramark
197;84,104;39,856;not available;1.8;14,403;35,119;Kinder Morgan
196;7,698;9,893;not available;4.2;14,437;871;Nordstrom
195;6,442;3,898;not available;0.1;14,485;1,603;Office Depot
194;6,082;18,043;not available;5.9;14,486;-3,590;Marriott International
193;15,181;10,996;not available;10.1;14,572;9,219;Western Digital
192;32,882;4,110;not available;-43.5;14,674;2,707;NRG Energy
191;26,725;11,687;not available;-5.2;14,757;16,383;National Oilwell Varco
190;13,198;10,002;not available;4.0;14,874;3,157;CarMax
189;36,850;7,785;not available;2.0;14,963;3,149;AES
188;21,920;38,637;not available;15.4;15,001;6,990;Monsanto
187;52,187;15,239;not available;3.8;15,026;12,421;FirstEnergy
186;22,887;21,474;not available;5.0;15,069;2,749;DISH Network
185;22,111;19,941;not available;7.2;15,134;2,452;Omnicom Group
184;3,391;2,396;not available;0.4;15,270;493;Performance Food Group
183;36,442;8,290;not available;-7.8;15,272;3,987;Icahn Enterprises
182;8,145;14,856;not available;4.6;15,280;3,147;Genuine Parts
181;17,076;29,742;not available;9.2;15,330;4,983;PPG Industries
180;5,741;10,099;not available;3.5;15,389;3,769;Whole Foods Market
179;15,901;19,393;not available;1.8;15,498;4,407;Dollar Tree
178;393,780;39,622;not available;20.3;15,523;38,037;Bank of New York Mellon Corp.
177;24,080;19,191;not available;-12.5;15,742;16,298;Baker Hughes
176;7,473;11,676;not available;5.8;15,797;2,545;Gap
175;17,542;19,371;not available;-1.6;15,849;4,526;ConAgra Foods
174;46,577;12,944;not available;-77.1;15,877;7,828;Freeport-McMoRan
173;11,958;63,072;not available;8.6;16,034;-299;Colgate-Palmolive
172;24,143;10,862;not available;17.9;16,192;12,302;Micron Technology
171;6,398;not available;not available;1.1;16,244;1,833;Health Net
170;358,493;42,379;not available;25.2;16,270;44,710;PNC Financial Services Group
169;14,250;15,039;not available;2.2;16,439;7,417;Nucor
168;16,439;8,813;not available;1.9;16,443;3,920;"Goodyear Tire &amp; Rubber"
167;31,748;106,848;not available;9.5;16,560;14,266;Bristol-Myers Squibb
166;6,548;805;not available;0.1;16,802;2,126;NGL Energy Partners
165;63,339;29,432;not available;5.2;16,833;16,576;"PG&amp;E Corp."
164;61,683;32,606;not available;12.1;16,900;17,892;American Electric Power
163;40,889;56,107;not available;11.6;16,965;21,350;Thermo Fisher Scientific
162;82,479;54,606;not available;15.7;17,486;22,574;NextEra Energy
161;78,318;47,222;not available;13.5;17,489;20,592;Southern
160;21,965;37,655;not available;6.9;17,630;4,997;General Mills
159;4,485;1,532;not available;1.1;17,820;-646;Supervalu
158;47,604;17,382;not available;4.9;17,900;14,060;CenturyLink
157;9,603;3,672;not available;1.6;17,914;2,315;Jabil Circuit
156;49,407;324,761;not available;20.6;17,928;44,218;Facebook
155;14,014;4,699;not available;-0.9;17,990;3,408;AECOM
154;7,632;7,476;not available;2.3;18,114;2,997;Fluor
153;9,406;8,157;not available;4.1;18,211;2,927;Lear
152;122,973;95,465;not available;3.5;18,338;66,005;Kraft Heinz
151;228,348;18,279;not available;9.2;18,377;17,642;Hartford Financial Services Group
150;14,842;48,545;not available;5.4;18,591;-174;Kimberly-Clark
149;24,817;11,304;not available;2.5;18,664;9,074;Xerox
148;32,535;122,684;not available;27.8;18,854;2,880;Altria Group
147;15,134;18,728;not available;7.3;19,110;7,406;Cummins
146;21,110;19,216;not available;8.4;19,115;6,940;Paccar
145;12,446;88,243;not available;14.4;19,163;5,818;Starbucks
144;13,606;8,631;not available;3.5;19,204;5,491;Kohl’s
143;7,518;5,878;not available;2.2;19,330;2,625;ManpowerGroup
142;8,023;3,269;not available;1.7;19,361;1,790;Penske Automotive Group
141;21,312;28,586;not available;11.0;19,820;7,358;Southwest Airlines
140;35,569;79,535;not available;12.1;19,959;14,571;Eli Lilly
139;23,682;2,871;not available;-0.7;20,111;691;Tenet Healthcare
138;11,258;24,522;not available;5.7;20,369;5,378;Dollar General
137;41,247;61,626;not available;21.4;20,661;21,211;Abbott Laboratories
136;29,819;20,487;not available;6.1;20,854;7,289;Progressive
135;9,558;4,813;not available;2.1;20,862;2,349;AutoNation
134;118,296;26,458;not available;12.1;20,872;17,708;Aflac
133;19,010;13,945;not available;3.7;20,891;4,743;Whirlpool
132;48,222;65,184;not available;16.1;20,909;23,690;Danaher
131;10,172;7,123;not available;1.8;21,059;5,376;Staples
130;421,853;70,518;not available;27.4;21,494;46,131;U.S. Bancorp
129;71,576;112,761;not available;32.0;21,662;28,083;Amgen
128;54,600;67,332;not available;21.9;21,813;20,702;Union Pacific
127;22,088;34,973;not available;12.2;22,304;8,081;Emerson Electric
126;30,587;16,874;not available;4.2;22,365;3,884;International Paper
125;36,528;12,596;not available;-1.4;22,534;12,046;Alcoa
124;26,861;2,087;not available;0.7;22,678;4,019;Community Health Systems
123;7,339;10,464;not available;1.6;22,795;2,157;Centene
122;53,050;92,405;not available;22.5;22,859;3,945;AbbVie
121;9,239;not available;not available;0.7;23,128;1,873;US Foods Holding
120;24,142;5,423;not available;0.5;23,152;1,762;Plains GP Holdings
119;29,281;36,666;not available;8.9;23,247;10,128;Raytheon
118;13,022;5,902;not available;2.1;23,282;4,142;Arrow Electronics
117;24,454;35,809;not available;8.5;23,526;5,522;Northrop Grumman
116;36,942;30,660;not available;-2.8;23,633;15,462;Halliburton
115;49,277;57,963;not available;7.8;23,697;8,995;Time Warner Cable
114;121,156;55,572;not available;11.7;24,002;39,727;Duke Energy
113;137,077;not available;not available;9.3;24,361;27,725;USAA
112;46,612;51,889;not available;8.1;24,704;21,140;EMC
111;334,048;35,977;not available;16.1;25,098;47,284;Capital One Financial
110;11,337;1,635;not available;-4.5;25,146;-1,963;Sears Holdings
109;50,796;76,449;not available;20.8;25,281;31,421;Qualcomm
108;37,939;113,314;not available;17.8;25,413;7,088;McDonald’s
107;6,358;2,694;not available;1.0;26,380;2,006;Tech Data
106;8,863;8,529;not available;8.0;26,528;57;Rite Aid
105;33,956;152,193;not available;25.7;26,794;-13,244;Philip Morris International
104;100,184;34,427;not available;12.8;26,800;23,598;Travelers Cos.
103;48,952;49,764;not available;9.3;27,028;20,295;Enterprise Products Partners
102;20,576;13,746;not available;4.0;27,079;4,250;Macy’s
101;10,800;5,815;not available;2.0;27,925;4,685;Avnet
100;41,166;55,289;not available;7.0;27,940;9,993;DuPont
99;238,472;not available;not available;2.9;28,111;19,656;Northwestern Mutual
98;63,848;57,326;not available;13.6;28,118;23,619;Time Warner
97;16,332;10,311;not available;5.5;28,150;5,213;Tesoro
96;57,948;24,277;not available;6.7;28,863;6,743;Deere
95;50,051;53,473;not available;28.7;28,987;17,220;Twenty-First Century Fox
94;95,384;33,052;not available;7.7;29,447;25,793;Exelon
93;62,843;62,472;not available;24.5;29,636;28,012;Mondelez International
92;32,718;100,946;not available;16.0;30,274;11,708;3M
91;4,549;3,440;not available;0.6;30,380;1,911;World Fuel Services
90;21,600;104,693;not available;10.7;30,601;12,707;Nike
89;97,484;49,869;not available;-14.3;30,935;39,762;ConocoPhillips
88;11,500;51,914;not available;7.4;30,945;4,307;TJX
87;31,997;40,286;not available;9.4;31,469;10,738;General Dynamics
86;16,359;not available;not available;6.0;32,619;12,394;Publix Super Markets
85;51,839;124,437;not available;55.5;32,639;18,534;Gilead Sciences
84;161,184;58,842;not available;15.0;34,441;20,673;American Express
83;15,228;not available;not available;2.3;34,582;7,658;CHS
82;5,070;503;not available;0.2;34,693;397;INTL FCStone
81;517,963;not available;not available;3.5;35,181;34,736;TIAA
80;104,656;25,486;not available;6.1;35,653;20,025;Allstate
79;40,861;21,519;not available;19.4;37,864;8,966;United Continental Holdings
78;57,088;35,101;not available;5.5;37,876;12,035;Cigna
77;787,465;48,984;not available;16.2;37,897;75,182;Morgan Stanley
76;110,903;169,771;not available;26.0;38,226;48,663;Oracle
75;266,550;not available;not available;3.7;38,243;14,983;Massachusetts Mutual Life Insurance
74;49,316;85,308;not available;12.4;38,581;18,283;Honeywell International
73;861,395;69,253;not available;15.5;39,208;86,728;Goldman Sachs Group
72;121,707;not available;not available;1.3;39,450;19,143;Liberty Mutual Insurance Group
71;101,779;146,839;not available;11.2;39,498;44,676;Merck
70;13,519;10,489;not available;2.3;39,745;4,378;Best Buy
69;29,673;25,262;not available;3.9;40,204;10,376;Johnson Controls
68;185,306;not available;not available;1.4;40,222;15,095;Nationwide
67;53,134;37,898;not available;11.1;40,704;10,850;Delta Air Lines
66;48,415;24,730;not available;18.6;40,990;5,635;American Airlines Group
65;23,004;26,331;not available;2.9;41,373;9,691;Tyson Foods
64;71,189;7,449;not available;2.8;42,126;-932;Energy Transfer Equity
63;12,307;5,328;not available;0.5;43,026;3,968;Ingram Micro
62;32,744;30,890;not available;4.9;43,591;-7,599;HCA Holdings
61;90,093;200,845;not available;16.6;44,294;25,554;Coca-Cola
60;271,668;not available;not available;0.6;45,891;19,496;New York Life Insurance
59;49,128;67,508;not available;7.8;46,132;3,097;Lockheed Martin
58;78,497;44,571;not available;4.5;47,011;14,809;Caterpillar
57;37,069;43,678;not available;2.2;47,453;14,993;FedEx
56;17,989;26,384;not available;1.4;48,681;5,260;Sysco
55;68,026;56,816;not available;15.8;48,778;25,374;Dow Chemical
54;167,460;183,298;not available;14.2;48,851;64,720;Pfizer
53;113,481;143,265;not available;18.3;49,161;59,698;Cisco Systems
52;88,182;162,031;not available;16.0;52,465;44,525;Disney
51;24,705;27,263;not available;2.4;54,289;10,346;Humana
50;103,065;152,821;not available;20.6;55,355;61,085;Intel
49;757,388;32,086;not available;9.9;57,119;41,890;Prudential Financial
48;496,943;61,283;not available;3.8;58,327;89,658;AIG
47;38,311;93,277;not available;8.3;58,363;2,470;UPS
46;31,266;67,981;not available;4.3;59,074;7,654;Lowe’s
45;53,424;39,278;not available;4.0;60,337;16,114;Aetna
44;87,484;83,727;not available;12.5;61,047;27,358;United Technologies
43;69,667;149,753;not available;8.6;63,056;11,923;PepsiCo
42;1,986,050;871;not available;10.0;63,491;2,940;Freddie Mac
41;43,115;19,677;not available;4.4;64,566;13,237;Marathon Petroleum
40;40,157;21,320;not available;2.7;67,702;17,899;Archer Daniels Midland
39;877,933;48,188;not available;7.6;69,951;67,949;MetLife
38;133,411;298,563;not available;22.0;70,074;71,150;"Johnson &amp; Johnson"
37;40,262;49,367;not available;4.6;73,785;12,957;Target
36;166,574;149,182;not available;11.0;74,510;52,269;Comcast
35;147,461;525,119;not available;21.8;74,989;120,331;Alphabet
34;241,183;not available;not available;8.2;75,697;82,660;State Farm Insurance Cos.
33;129,495;222,613;not available;8.9;78,756;62,419;"Procter &amp; Gamble"
32;61,718;36,325;not available;3.2;79,157;23,044;Anthem
31;44,343;30,132;not available;4.9;81,824;20,527;Valero Energy
30;110,495;145,525;not available;16.0;82,461;14,262;IBM
29;48,580;45,566;not available;4.8;87,169;23,100;Phillips 66
28;1,731,210;122,796;not available;19.5;88,275;221,857;Citigroup
27;42,549;167,181;not available;7.9;88,519;6,316;Home Depot
26;1,787,632;244,568;not available;25.4;90,033;192,998;Wells Fargo
25;2,144,316;139,603;not available;17.1;93,056;256,205;Bank of America Corp.
24;176,223;436,831;not available;13.0;93,580;80,083;Microsoft
23;94,408;82,645;not available;5.4;96,114;6,335;Boeing
22;2,351,698;217,353;not available;24.2;101,006;247,573;J.P. Morgan Chase
21;53,243;43,467;not available;2.4;101,752;17,373;Express Scripts Holding
20;30,142;26,989;not available;1.2;102,531;6,256;Cardinal Health
19;106,882;21,272;not available;4.4;103,355;27,768;HP
18;68,782;90,874;not available;4.1;103,444;30,861;Walgreens Boots Alliance
17;65,444;279,511;not available;0.6;107,006;13,384;Amazon.com
16;33,897;36,815;not available;1.9;109,830;6,820;Kroger
15;3,221,917;1,621;not available;9.9;110,359;4,030;Fannie Mae
14;33,440;69,183;not available;2.0;116,199;10,617;Costco
13;266,103;179,653;not available;3.5;131,118;152,716;Chevron
12;244,640;220,646;not available;13.6;131,620;16,428;Verizon
11;27,736;19,511;not available;-0.1;135,962;634;AmerisourceBergen
10;492,692;295,174;not available;-4.4;140,389;98,274;General Electric
9;402,672;240,943;not available;9.1;146,801;122,671;"AT&amp;T"
8;224,925;53,758;not available;4.9;149,558;28,642;Ford Motor
7;194,520;48,543;not available;6.4;152,356;39,871;General Motors
6;93,657;113,947;not available;3.4;153,290;37,196;CVS Health
5;111,383;122,542;not available;3.7;157,107;33,830;UnitedHealth Group
4;53,870;35,945;not available;0.8;181,241;8,001;McKesson
3;552,257;350,279;not available;11.4;210,821;255,550;Berkshire Hathaway
2;290,479;604,304;not available;22.8;233,715;119,355;Apple
1;336,758;347,129;not available;6.6;246,204;170,811;Exxon Mobil
0;199,581;215,356;not available;3.0;482,130;80,546;Walmart
