range;Company;Site;Loading times;png;dib;jpg;jpeg;bmp;jpe;gif;tif;tiff;total_images;total_words;unique_words;totallinks;external_links;internal_links;</title>;</html>;</body>;</div>;</span>;Correct_html;facebook;twitter;instagram;pinterest;youtube;loading.time
1;Walmart;www.walmart.com;0,758;51;0;122;142;0;143;19;6;0;483;2390;862;262;46;216;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,758
2;Exxon Mobil;www.exxonmobil.com;6,059;2;0;16;0;0;0;1;4;0;23;1056;277;806;23;783;YES;NO;YES;NO;YES;NO;NO;YES;NO;NO;YES;6,059
3;Apple;www.apple.com;0,119;2;0;0;0;0;0;1;0;0;3;484;267;281;5;276;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;YES;0,119
4;Berkshire Hathaway;www.berkshirehathaway.com;0;0;0;0;0;0;0;1;0;0;1;185;131;18;0;18;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0
5;McKesson;www.mckesson.com;0,645;7;0;6;0;0;0;0;0;0;13;740;338;142;5;137;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,645
6;UnitedHealth Group;www.unitedhealthgroup.com;0,728;0;0;0;0;0;0;0;1;0;1;958;416;137;13;124;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,728
7;CVS Health;www.cvshealth.com;0,207;16;0;1;0;0;1;1;1;0;20;896;368;153;27;126;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,207
8;General Motors;www.gm.com;0,042;92;0;17;0;0;0;0;10;0;119;553;143;220;10;210;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,042
9;Ford Motor;www.ford.com;0,528;6;0;104;0;0;0;1;22;0;133;1460;642;192;10;182;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;0,528
10;AT&T;www.att.com;0,365;29;1;16;0;0;0;1;29;0;76;1154;325;366;129;237;YES;YES;YES;NO;YES;NO;YES;YES;YES;YES;YES;0,365
11;General Electric;www.ge.com;0,07;1;0;6;0;0;0;0;0;0;7;567;227;129;0;129;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;0,07
12;AmerisourceBergen;www.amerisourcebergen.com;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0
13;Verizon;www.verizon.com;0,146;1;0;0;0;0;0;0;5;0;6;315;153;54;0;54;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,146
14;Chevron;www.chevron.com;0,869;13;0;9;0;0;0;4;0;0;26;618;235;296;6;290;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,869
15;Costco;www.costco.com;2,145;48;0;26;0;0;0;4;37;0;115;1996;837;272;23;249;YES;YES;YES;NO;YES;NO;YES;NO;NO;YES;NO;2,145
17;Kroger;www.thekrogerco.com;0,329;31;0;9;0;0;0;1;3;0;44;584;374;105;10;95;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;YES;0,329
18;Amazon.com;www.amazon.com;0;45;12;16;0;0;0;9;30;0;112;1864;767;176;9;167;YES;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;0
19;Walgreens Boots Alliance;www.walgreensbootsalliance.com;0,56;0;0;7;0;0;0;0;2;0;9;561;180;115;0;115;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;0,56
20;HP;www.hp.com;0,212;0;0;14;0;0;0;0;9;0;23;433;174;178;0;178;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;YES;0,212
21;Cardinal Health;www.cardinal.com;0,134;17;0;6;0;0;0;1;4;0;28;835;391;251;5;246;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,134
22;Express Scripts Holding;www.express-scripts.com;0,309;0;0;0;0;0;0;0;0;0;0;359;183;42;15;27;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,309
23;J.P. Morgan Chase;www.jpmorganchase.com;0,295;31;0;24;0;0;0;1;5;0;61;1000;451;270;36;234;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,295
24;Boeing;www.boeing.com;0,549;0;0;115;0;0;0;0;0;0;115;715;267;170;6;164;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,549
25;Microsoft;www.microsoft.com;0,145;1;0;15;0;0;0;0;0;0;16;486;201;110;34;76;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,145
26;Bank of America Corp.;www.bankofamerica.com;0,609;2;0;5;0;0;0;32;2;0;41;1101;479;126;39;87;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,609
27;Wells Fargo;www.wellsfargo.com;0,613;16;0;11;0;0;0;7;1;0;35;1249;615;216;27;189;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;0,613
28;Home Depot;www.homedepot.com;0,085;0;0;8;0;0;0;6;1;0;15;670;242;132;14;118;YES;NO;YES;YES;YES;NO;YES;YES;NO;YES;YES;0,085
29;Citigroup;www.citigroup.com;0,001;0;0;0;0;0;0;0;0;0;0;117;71;4;0;4;YES;YES;NO;YES;YES;NO;NO;NO;NO;NO;NO;0,001
30;Phillips 66;www.phillips66.com;1,77;25;0;12;0;0;0;4;0;0;41;659;349;81;1;80;YES;YES;YES;YES;NO;NO;YES;YES;YES;NO;YES;1,77
31;IBM;www.ibm.com;0,014;16;0;9;0;0;0;0;0;0;25;499;284;44;9;35;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,014
32;Valero Energy;www.valero.com;0,426;14;0;8;0;0;0;2;0;0;24;725;384;124;2;122;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,426
33;Anthem;www.antheminc.com;1,183;13;0;8;0;0;0;3;0;0;24;428;253;75;7;68;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;YES;1,183
34;Procter & Gamble;www.pg.com;0,314;0;0;0;0;0;0;0;0;0;0;150;60;0;0;0;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,314
35;State Farm Insurance Cos.;www.statefarm.com;0,394;4;0;10;0;0;0;0;2;0;16;849;422;176;157;19;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,394
36;Alphabet;www.google.com;0,21;14;0;0;0;23;0;0;0;0;37;416;138;44;10;34;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;YES;0,21
37;Comcast;www.comcastcorporation.com;0,036;10;0;3;0;0;0;0;0;0;13;680;392;173;1;172;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,036
38;Target;www.target.com;0,379;12;0;0;0;0;0;6;1;0;19;796;363;29;6;23;YES;YES;NO;YES;YES;NO;NO;NO;NO;NO;NO;0,379
39;Johnson & Johnson;www.jnj.com;0,044;17;0;14;0;0;1;3;0;0;35;777;350;110;0;110;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,044
40;MetLife;www.metlife.com;0,046;1;0;3;0;0;0;10;26;0;40;439;205;38;0;38;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;NO;0,046
41;Archer Daniels Midland;www.adm.com;0,104;0;0;5;0;0;0;1;5;0;11;629;357;89;0;89;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,104
42;Marathon Petroleum;www.marathonpetroleum.com;0,324;10;0;3;0;0;0;8;1;0;22;384;178;129;15;114;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,324
43;Freddie Mac;www.freddiemac.com;0,166;9;0;3;0;0;0;1;27;0;40;664;292;101;8;93;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;YES;0,166
44;PepsiCo;www.pepsico.com;0,155;32;0;36;2;0;2;2;0;0;74;913;306;298;10;288;YES;NO;YES;NO;YES;NO;YES;YES;YES;YES;YES;0,155
45;United Technologies;www.utc.com;0,856;18;0;109;5;0;5;1;1;0;139;908;361;231;7;224;YES;YES;NO;NO;YES;NO;YES;YES;YES;NO;YES;0,856
46;Aetna;www.aetna.com;1,329;30;0;12;0;0;0;3;10;0;55;903;253;279;57;222;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;1,329
47;Lowe’s;www.lowes.com;0,722;3;0;0;0;0;0;1;0;0;4;965;406;121;10;111;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,722
48;UPS;www.ups.com;0,04;0;0;0;0;0;0;12;0;0;12;486;308;6;0;6;YES;NO;NO;YES;YES;NO;NO;NO;NO;NO;NO;0,04
49;AIG;www.aig.com;0,473;3;0;31;0;0;0;0;6;0;40;649;344;107;14;93;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,473
50;Prudential Financial;www.prudential.com;10,229;13;0;9;0;0;0;13;3;0;38;1021;394;218;13;205;YES;NO;YES;NO;YES;NO;NO;NO;NO;NO;NO;10,229
51;Intel;www.intel.com;0,123;1;0;0;0;0;0;0;0;0;1;402;239;98;0;98;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,123
52;Humana;www.humana.com;0,616;20;0;8;0;0;0;0;1;0;29;978;396;246;14;232;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;0,616
53;Disney;www.disney.com;5,678;174;0;0;1976;0;1976;305;12;0;4443;2449;228;851;156;695;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;5,678
54;Cisco Systems;www.cisco.com;0,379;0;0;20;1;0;1;1;7;0;30;912;365;338;19;319;YES;NO;YES;NO;YES;NO;YES;YES;NO;NO;NO;0,379
55;Pfizer;www.pfizer.com;0,483;7;0;11;0;0;0;4;3;0;25;1292;657;323;3;320;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,483
56;Dow Chemical;www.dow.com;1,097;2;0;0;0;0;0;0;6;0;8;754;323;161;1;160;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;1,097
57;Sysco;www.sysco.com;4,897;3;0;3;0;0;0;0;1;0;7;461;241;55;0;55;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;4,897
58;FedEx;www.fedex.com;1,366;1;0;0;0;0;0;3;9;0;13;549;114;286;0;286;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;1,366
59;Caterpillar;www.caterpillar.com;3,072;0;0;0;0;0;0;1;22;0;23;645;240;160;1;159;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;NO;3,072
60;Lockheed Martin;www.lockheedmartin.com;2,371;12;0;13;0;0;0;1;3;0;29;545;341;114;4;110;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;2,371
61;New York Life Insurance;www.newyorklife.com;7,817;4;0;11;0;0;0;3;10;0;28;1051;445;140;12;128;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;7,817
62;Coca-Cola;www.coca-colacompany.com;2,527;164;0;245;25;0;25;0;6;0;465;1475;528;355;5;350;YES;NO;YES;NO;YES;NO;YES;YES;YES;NO;YES;2,527
63;HCA Holdings;www.hcahealthcare.com;6,189;3;0;18;0;0;0;0;31;0;52;1092;445;257;3;254;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;6,189
64;Ingram Micro;www.ingrammicro.com;2,824;0;0;1;0;0;0;1;0;0;2;207;107;5;1;4;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;2,824
65;Energy Transfer Equity;www.energytransfer.com;1,343;5;0;11;0;0;0;26;2;0;44;454;219;141;1;140;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;NO;1,343
66;Tyson Foods;www.tysonfoods.com;3,012;3;0;1;0;0;0;0;0;0;4;580;349;121;6;115;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;3,012
67;American Airlines Group;www.aa.com;0,128;10;0;8;0;0;0;6;9;0;33;823;390;80;4;76;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,128
68;Delta Air Lines;www.delta.com;1,091;44;0;7;0;0;0;18;10;0;79;1370;585;219;8;211;YES;NO;YES;NO;YES;NO;YES;YES;NO;NO;NO;1,091
69;Nationwide;www.nationwide.com;1,204;1;0;35;0;0;0;15;6;0;57;897;396;183;17;166;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;1,204
70;Johnson Controls;www.johnsoncontrols.com;0,516;8;0;9;0;0;0;0;1;0;18;1090;526;167;16;151;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,516
71;Best Buy;www.bestbuy.com;0,005;0;0;0;0;0;0;1;0;0;1;158;88;3;0;3;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,005
72;Merck;www.merck.com;1,693;19;0;10;0;0;0;3;29;0;61;1558;368;605;6;599;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;NO;1,693
73;Liberty Mutual Insurance Group;www.libertymutual.com;1,253;0;0;11;0;0;0;1;1;0;13;592;267;169;45;124;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;1,253
74;Goldman Sachs Group;www.gs.com;0,359;10;0;15;0;0;0;1;1;0;27;458;247;71;8;63;YES;NO;YES;YES;YES;NO;NO;YES;NO;NO;YES;0,359
75;Honeywell International;www.honeywell.com;2,729;37;0;110;0;0;0;5;1;0;153;695;340;170;23;147;YES;YES;NO;YES;NO;NO;YES;YES;NO;NO;YES;2,729
76;Massachusetts Mutual Life Insurance;www.massmutual.com;1,068;121;0;45;0;0;0;3;26;0;195;795;381;124;4;120;YES;NO;YES;NO;NO;NO;YES;YES;NO;YES;YES;1,068
77;Oracle;www.oracle.com;0,516;2;0;72;0;0;0;0;2;0;76;837;444;151;100;51;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,516
78;Morgan Stanley;www.morganstanley.com;0,338;23;0;121;0;0;0;0;3;0;147;755;325;108;5;103;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;YES;0,338
79;Cigna;www.cigna.com;1,8;8;0;5;0;0;0;2;10;0;25;1079;395;345;21;324;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;1,8
80;United Continental Holdings;www.unitedcontinentalholdings.com;2,321;11;0;17;1;0;1;3;0;0;33;482;238;98;1;97;YES;YES;YES;NO;YES;NO;YES;YES;YES;NO;YES;2,321
81;Allstate;www.allstate.com;1,909;39;0;20;0;0;0;35;59;0;153;973;354;291;45;246;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;1,909
82;TIAA;www.tiaa.org;1,074;11;0;41;0;0;0;0;3;0;55;1049;393;306;74;232;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;1,074
83;INTL FCStone;www.intlfcstone.com;2,552;2;0;7;0;0;0;0;6;0;15;827;344;274;13;261;YES;NO;YES;YES;YES;NO;NO;YES;NO;NO;YES;2,552
84;CHS;www.chsinc.com;2,883;1;0;0;0;0;0;1;1;0;3;1090;690;246;12;234;YES;NO;YES;YES;NO;NO;NO;YES;NO;NO;YES;2,883
85;American Express;www.americanexpress.com;1,194;1;0;1;0;0;0;26;2;0;30;804;340;376;139;237;YES;YES;NO;NO;NO;NO;YES;YES;NO;NO;YES;1,194
86;Gilead Sciences;www.gilead.com;1,753;10;0;3;0;0;0;0;4;0;17;691;334;149;7;142;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;1,753
88;General Dynamics;www.generaldynamics.com;1,639;24;0;70;0;0;1;1;1;0;97;651;303;64;0;64;YES;NO;YES;YES;YES;NO;YES;NO;NO;NO;NO;1,639
89;TJX;www.tjx.com;2,794;1;0;22;0;0;0;0;4;0;27;549;206;290;7;283;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;NO;2,794
90;ConocoPhillips;www.conocophillips.com;1,213;5;0;5;0;2;0;1;2;0;15;1285;656;139;7;132;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;1,213
91;Nike;www.nike.com;2,199;70;0;0;0;0;0;0;0;0;70;465;193;101;0;101;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;2,199
92;World Fuel Services;www.wfscorp.com;2,223;8;0;9;0;0;1;1;0;0;19;699;315;104;5;99;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;2,223
93;3M;www.3m.com;1,335;15;0;6;0;0;0;0;0;0;21;484;254;155;3;152;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;1,335
94;Mondelez International;www.mondelezinternational.com;13,856;40;0;392;0;1;0;0;318;0;751;2079;670;779;587;192;YES;YES;YES;NO;YES;NO;YES;YES;YES;NO;YES;13,856
95;Exelon;www.exeloncorp.com;4,059;34;0;8;0;0;0;1;1;0;44;997;327;378;3;375;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;NO;4,059
96;Twenty-First Century Fox;www.21cf.com;0,891;23;0;9;0;0;1;1;0;0;34;538;192;116;24;92;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,891
97;Deere;www.johndeere.com;1,443;2;0;17;0;0;0;12;4;0;35;753;267;138;10;128;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;1,443
99;Time Warner;www.timewarner.com;1,549;59;0;17;0;0;1;1;0;0;78;509;252;52;0;52;YES;NO;YES;NO;YES;NO;YES;YES;YES;NO;YES;1,549
100;Northwestern Mutual;www.northwesternmutual.com;1,781;13;0;1;0;0;0;1;2;0;17;858;446;128;26;102;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;1,781
101;DuPont;www.dupont.com;2,182;31;0;12;0;0;0;4;2;0;49;1046;482;113;2;111;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;2,182
102;Avnet;www.avnet.com;3,964;45;0;14;0;0;0;1;4;0;64;922;459;142;16;126;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;3,964
103;Macy’s;www.macysinc.com;1,298;0;0;8;0;0;0;0;0;0;8;386;210;76;0;76;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;1,298
104;Enterprise Products Partners;www.enterpriseproducts.com;4,038;15;0;5;0;0;0;2;21;0;43;1164;632;130;2;128;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;4,038
105;Travelers Cos.;www.travelers.com;0,273;6;0;9;0;0;0;0;1;0;16;775;342;188;5;183;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,273
106;Philip Morris International;www.pmi.com;0,576;9;0;32;0;0;0;5;8;0;54;1069;380;285;10;275;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,576
107;Rite Aid;www.riteaid.com;0,526;14;0;6;1;0;1;1;0;0;23;854;291;182;38;144;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,526
108;Tech Data;www.techdata.com;0,036;15;0;9;0;0;0;0;1;0;25;571;315;34;3;31;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;YES;0,036
109;McDonald’s;www.aboutmcdonalds.com;0,346;35;0;12;0;0;0;0;16;0;63;555;257;95;1;94;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;YES;0,346
110;Qualcomm;www.qualcomm.com;0,013;12;0;2;0;0;0;0;0;0;14;460;222;133;44;89;YES;NO;YES;YES;YES;NO;YES;NO;NO;NO;NO;0,013
111;Sears Holdings;www.searsholdings.com;0,703;11;0;9;0;0;0;0;0;0;20;436;231;114;5;109;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,703
112;Capital One Financial;www.capitalone.com;2,322;18;0;5;1;0;1;2;2;0;29;884;319;262;155;107;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;YES;2,322
113;EMC;www.emc.com;1,478;7;0;31;0;0;0;0;5;0;43;759;382;203;44;159;YES;NO;YES;YES;YES;NO;YES;NO;NO;NO;NO;1,478
114;USAA;www.usaa.com;0,002;1;0;0;0;0;0;0;0;0;1;179;119;1;0;1;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,002
115;Duke Energy;www.duke-energy.com;0,541;1;0;3;0;0;0;5;8;0;17;487;228;92;2;90;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,541
116;Time Warner Cable;www.twc.com;0,884;5;1;0;0;0;0;0;0;0;6;697;258;67;1;66;YES;NO;YES;NO;YES;NO;YES;YES;YES;NO;YES;0,884
117;Halliburton;www.halliburton.com;0,991;42;0;1;0;0;0;7;22;0;72;779;367;175;6;169;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,991
118;Northrop Grumman;www.northropgrumman.com;0,08;4;0;0;0;0;0;1;2;0;7;424;230;29;0;29;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,08
119;Arrow Electronics;www.arrow.com;1,139;25;0;45;0;0;0;0;1;0;71;1289;369;458;28;430;YES;NO;YES;NO;YES;NO;YES;YES;NO;YES;YES;1,139
120;Raytheon;www.raytheon.com;0,246;6;0;21;0;0;0;3;2;0;32;596;284;135;2;133;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;YES;0,246
121;Plains GP Holdings;www.plainsallamerican.com;0,496;0;0;13;0;0;0;0;4;0;17;592;216;146;1;145;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,496
122;US Foods Holding;www.usfoods.com;0,002;0;0;0;0;0;0;0;0;0;0;38;24;2;0;2;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,002
123;AbbVie;www.abbvie.com;0,181;20;0;6;0;0;0;0;1;0;27;703;401;133;9;124;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,181
