range;companyname;site;
16;Fannie Mae;www.fanniemae.com;
87;Publix Super Markets;www.publix.com;
98;Tesoro;www.tsocorp.com;
136;AutoNation;www.autonation.com;
140;Tenet Healthcare;www.tenethealth.com;
142;Southwest Airlines;www.southwest.com;
162;Southern;www.southerncompany.com;
165;American Electric Power;www.aep.com;
217;PBF Energy;www.pbfenergy.com;
243;Dominion Resources;www.dom.com;
276;Global Partners;www.globalp.com;
307;PayPal Holdings;www.paypal.com;
311;Fidelity National Financial;www.fnf.com;
327;News Corp.;www.newscorp.com;
364;Williams;www.williams.com;
398;Auto-Owners Insurance;www.auto-owners.com;
415;Tractor Supply;www.tractorsupply.com;
417;Commercial Metals;www.cmc.com;
442;Old Republic International;www.oldrepublic.com;
465;St. Jude Medical;www.sjm.com;